dataset,run_id,accuracy,f1_score,num_features,feature_ratio,run_time
arrhythmia,1,0.9230769230769231,0.8095238095238096,38,0.13620071684587814,66.00490880012512
arrhythmia,2,0.7692307692307693,0.6333333333333333,40,0.14336917562724014,51.649845600128174
arrhythmia,3,0.9230769230769231,0.8148148148148149,42,0.15053763440860216,46.21479797363281
arrhythmia,4,0.8461538461538461,0.7354497354497355,29,0.1039426523297491,46.401554584503174
arrhythmia,5,0.7692307692307693,0.6095238095238095,37,0.13261648745519714,47.247233152389526
Breast Cancer Wisconsin,1,0.9649122807017544,0.9619111259605746,2,0.06666666666666667,40.07186937332153
Breast Cancer Wisconsin,2,0.9649122807017544,0.9619111259605746,4,0.13333333333333333,66.30852484703064
Breast Cancer Wisconsin,3,0.9736842105263158,0.9715828832571666,4,0.13333333333333333,43.72324848175049
Breast Cancer Wisconsin,4,0.9649122807017544,0.9623015873015872,4,0.13333333333333333,64.11661005020142
Breast Cancer Wisconsin,5,0.9649122807017544,0.9623015873015872,2,0.06666666666666667,37.05028295516968
Hill_Valley,1,0.7078189300411523,0.7071046600458365,46,0.46,121.17613887786865
Hill_Valley,2,0.6954732510288066,0.6954680937542339,43,0.43,163.11374235153198
Hill_Valley,3,0.6748971193415638,0.6748750952663223,38,0.38,160.6036696434021
Hill_Valley,4,0.6790123456790124,0.6785714285714286,36,0.36,159.61438059806824
Hill_Valley,5,0.6707818930041153,0.6705084745762713,48,0.48,143.11099672317505
ionosphere,1,0.9577464788732394,0.9522956326987682,4,0.11764705882352941,46.82731008529663
ionosphere,2,0.9859154929577465,0.9847015729368671,9,0.2647058823529412,49.44482946395874
ionosphere,3,0.9859154929577465,0.9844195742813254,6,0.17647058823529413,31.831048250198364
ionosphere,4,0.9436619718309859,0.9356884057971014,5,0.14705882352941177,46.75724530220032
ionosphere,5,0.9577464788732394,0.9532587228439764,5,0.14705882352941177,47.09251117706299
lsvt+voice+rehabilitation,1,0.8,0.7619047619047619,15,0.04838709677419355,55.987610816955566
lsvt+voice+rehabilitation,2,0.8,0.7086247086247086,12,0.03870967741935484,55.35087585449219
lsvt+voice+rehabilitation,3,0.72,0.6361746361746362,15,0.04838709677419355,55.198246717453
lsvt+voice+rehabilitation,4,0.76,0.7023809523809523,15,0.04838709677419355,55.87045431137085
lsvt+voice+rehabilitation,5,0.68,0.6031746031746031,7,0.02258064516129032,51.08958101272583
movement_libras,1,0.8472222222222222,0.8465608465608465,17,0.18888888888888888,70.41636276245117
movement_libras,2,0.875,0.874952084952085,20,0.2222222222222222,74.17275381088257
movement_libras,3,0.8472222222222222,0.8444540644540645,40,0.4444444444444444,73.17653465270996
movement_libras,4,0.8611111111111112,0.8593676693676693,28,0.3111111111111111,70.83645939826965
movement_libras,5,0.8333333333333334,0.8325781625781625,19,0.2111111111111111,63.51404690742493
Musk (Version 1),1,1.0,1.0,43,0.25903614457831325,74.32516956329346
Musk (Version 1),2,0.9894736842105263,0.9893030064181961,46,0.27710843373493976,75.47143387794495
Musk (Version 1),3,0.9789473684210527,0.9786612758310871,56,0.3373493975903614,75.4544415473938
Musk (Version 1),4,0.968421052631579,0.9680672268907563,46,0.27710843373493976,71.5574381351471
Musk (Version 1),5,1.0,1.0,50,0.30120481927710846,75.78698372840881
Period Changer,1,0.9444444444444444,0.9259259259259258,388,0.3296516567544605,77.45552182197571
Period Changer,2,0.9444444444444444,0.9259259259259258,348,0.29566694987255737,75.82085633277893
Period Changer,3,0.8888888888888888,0.8392857142857143,308,0.2616822429906542,75.25618600845337
Period Changer,4,0.8888888888888888,0.8392857142857143,356,0.30246389124893797,76.65669322013855
Period Changer,5,0.8888888888888888,0.8392857142857143,292,0.24808836023789294,74.77586126327515
"Sonar, Mines vs",1,1.0,1.0,10,0.16666666666666666,42.332040309906006
"Sonar, Mines vs",2,1.0,1.0,7,0.11666666666666667,46.137348651885986
"Sonar, Mines vs",3,0.9761904761904762,0.976068376068376,13,0.21666666666666667,36.586068868637085
"Sonar, Mines vs",4,0.9523809523809523,0.9522727272727273,16,0.26666666666666666,56.737648248672485
"Sonar, Mines vs",5,1.0,1.0,14,0.23333333333333334,48.81551790237427
soybean,1,0.9814814814814815,0.9916339869281046,14,0.4,47.1134831905365
soybean,2,1.0,1.0,16,0.45714285714285713,58.680033922195435
soybean,3,0.9444444444444444,0.9755054302422723,13,0.37142857142857144,30.71031641960144
soybean,4,0.9259259259259259,0.9293323996265173,17,0.4857142857142857,38.5398850440979
soybean,5,0.9629629629629629,0.9830687830687831,16,0.45714285714285713,59.0962278842926
Spambase,1,0.9543973941368078,0.952257175864214,26,0.45614035087719296,573.2877466678619
Spambase,2,0.9489685124864278,0.9462810481444022,31,0.543859649122807,496.76330971717834
Spambase,3,0.9565689467969598,0.9544420261179264,26,0.45614035087719296,568.2363681793213
Spambase,4,0.9413680781758957,0.9383118171805074,25,0.43859649122807015,573.8143765926361
Spambase,5,0.9489685124864278,0.9464429545148043,32,0.5614035087719298,583.2162146568298
SPECTF Heart,1,1.0,1.0,19,0.4318181818181818,46.43114447593689
SPECTF Heart,2,1.0,1.0,12,0.2727272727272727,42.99709606170654
SPECTF Heart,3,0.9444444444444444,0.9113300492610837,14,0.3181818181818182,43.43836450576782
SPECTF Heart,4,0.9444444444444444,0.9041986989946778,15,0.3409090909090909,35.6228768825531
SPECTF Heart,5,0.9444444444444444,0.9041986989946778,13,0.29545454545454547,41.962289810180664
Statlog (Vehicle Silhouettes),1,0.7810650887573964,0.7762118056297731,8,0.4444444444444444,54.25096273422241
Statlog (Vehicle Silhouettes),2,0.7810650887573964,0.7770599932880635,9,0.5,54.93157982826233
Statlog (Vehicle Silhouettes),3,0.8047337278106509,0.8038871322803145,11,0.6111111111111112,95.47341132164001
Statlog (Vehicle Silhouettes),4,0.7633136094674556,0.7605442026328102,7,0.3888888888888889,92.31664037704468
Statlog (Vehicle Silhouettes),5,0.7455621301775148,0.7457801191996595,8,0.4444444444444444,52.32616949081421
